Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD,Spend_ILS,Spend_AUD,Spend_TWD,Spend_BRL,Spend_ARS,Spend_ZAR,Spend_CLP,Spend_MXN
AR00247155336157331457,Seven Colors Broadcasting Private Limited,,IN,,3,0,0,47000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17532530872819908609,Jorge Rosario Boasso,,AR,,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495000,0,0,0
AR03229556334164705281,DOLAN FOR MISSOURI,Registered in US-MO C201165,US,,5,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR06260478883385049089,HARTMAN FOR PA,EIN ID 84-2401210,US,,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR15057392209986846721,Muslate Online Services OPC Private Limited,,IN,,88,0,0,153750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR01336344542613340161,KW Nowa Lewica,,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK",,114,0,1750,0,100,1500,500,20000,8000,250,1000,0,0,0,0,0,0,0,0,0,0
AR10767098869197045761,Las Vegas Review-Journal INC,EIN ID 47-3017842,US,,2,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09535337982832148481,Daly For Senate District 13,EIN ID 87-3653879,US,,2,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR02149942224719183873,Friends of Ed Dombroski,EIN ID 82-0666151,US,,9,12100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10855503452360933377,PRAHA BEZ CHAOSU,,"AT, BE, CZ, DE, DK, ES, FR, IT, NL, SE",,2,0,100,0,0,1500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10067448421800738817,Gradska organizacija SDP Opatija,,HR,,16,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR06260917794682961921,COMMITTEE TO ELECT BOB BEERS,EIN ID 87-3151587,US,,26,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09994676763680047105,Rasmus Jarlov,,DK,,5,0,2050,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR14953744959688146945,Jennifer Casey Campaign,EIN ID 92-1922573,US,,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR11781047601611145217,"HOFFMAN, REID",FEC ID C90019498,US,,6,114400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17626178923857444865,KRISTIN LYERLY FOR CONGRESS,FEC ID C00875153,US,,3,72500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR12417733519210446849,FOR WHICH IT STANDS FUND INC,EIN ID 92-1516265,US,,2,13300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR15157844777711435777,Παραπολιτικά,,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK",,4,0,12250,0,100,1500,500,20000,250,250,1000,0,0,0,0,0,0,0,0,0,0
AR16185550032676585473,Venstre på Østerbro,,"AT, BE, CZ, DE, DK, ES, FI, FR, GB, GR, HU, IE, IT, LT, LU, LV, NL, PL, PT, RO, SE, SK",,47,0,4950,0,0,1500,37000,20000,250,250,1000,50,0,0,0,0,0,0,0,0,0
